parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:95457
pvalue,0.3971263
gene_symbol,Mecom
mouse_strain,C3H
mouse_life_stage,Early adult
analysis_id,tckb793n92257jp
