analysis_id,s88v4f98brobbr8
pvalue,0.6337252
gene_symbol,Mms22l
mouse_strain,129SV
parameter_id,JAX_LDT_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
parameter_name,Time mobile light side
