gene_symbol,Cpa3
gene_accession_id,MGI:88479
pvalue,0.1641995
parameter_id,IMPC_IPG_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,v4125o6ugc9jt4y
parameter_name,Initial response to glucose challenge
