parameter_name,Spleen weight
gene_symbol,Slc45a3
mouse_strain,C57BL
analysis_id,7240ui2nn31f3u0
gene_accession_id,MGI:1922082
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
pvalue,0.305423
