parameter_name,White blood cell count
gene_symbol,Dcaf12
pvalue,0.7439849
analysis_id,6tr5341ujb3p4md
mouse_strain,C57BL
gene_accession_id,MGI:1916220
parameter_id,IMPC_HEM_001_001
mouse_life_stage,Early adult
