gene_symbol,Gfi1b
parameter_name,Basophil differential count
mouse_strain,C57BL
gene_accession_id,MGI:1276578
pvalue,0.7698715
mouse_life_stage,Early adult
analysis_id,64hj2w0183i5x1s
parameter_id,IMPC_HEM_038_001
