parameter_name,Coat colouration
analysis_id,li88t8h450r2ue3
pvalue,0.7427802
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_id,M-G-P_026_001_004
