gene_symbol,Slc17a9
mouse_strain,C57BL
gene_accession_id,MGI:1919107
parameter_name,Effector CD8+ T cells - % of CD45+
parameter_id,MGP_IMM_081_001
analysis_id,fi5v28801jv31qj
pvalue,0.3935902
mouse_life_stage,Early adult
