parameter_name,Eye
parameter_id,M-G-P_013_001_001
analysis_id,226glraid2372fl
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.5889106
