parameter_name,Respiration Rate
analysis_id,j81bw07p9437y11
gene_symbol,Slc30a4
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
pvalue,0.6103391
mouse_strain,C57BL
