analysis_id,x2920870apn09t8
parameter_name,Cholesterol ratio
gene_accession_id,MGI:2446186
pvalue,0.9417737
mouse_life_stage,Late adult
gene_symbol,Lpgat1
parameter_id,IMPC_CBC_058_001
mouse_strain,C57BL
