gene_symbol,Dmap1
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
parameter_id,MGP_MLN_013_001
pvalue,0.6742468
analysis_id,rcn15p2i7cm98f1
