parameter_name,Limb morphology
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:1927379
mouse_strain,C57BL
analysis_id,i173og3v1w2z7e8
pvalue,0.3042153
mouse_life_stage,Early adult
gene_symbol,Rhbg
