parameter_name,Retinal Blood Vessels
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
analysis_id,uvnm09k7s0tq5lk
mouse_strain,C57BL
pvalue,0.8416909
parameter_id,IMPC_EYE_024_001
