gene_symbol,Cdin1
mouse_strain,C57BL
gene_accession_id,MGI:3026886
pvalue,0.5534238
mouse_life_stage,E9.5
parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
analysis_id,8r21l92w78poy88
