parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
gene_symbol,Car13
parameter_name,Lean mass
gene_accession_id,MGI:1931322
mouse_strain,C57BL
pvalue,0.2120094
analysis_id,1219eiwh421u64i
