analysis_id,rsq5xk0g8o42cqy
pvalue,0.2438784
mouse_strain,C57BL
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
gene_symbol,Alkbh3
