parameter_name,Eosinophil cell count
pvalue,0.963243
mouse_life_stage,Early adult
gene_symbol,Traf6
analysis_id,h8hwwrdgjl878i0
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:108072
mouse_strain,C57BL
