analysis_id,128b80s1u28e95y
gene_symbol,AU040320
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
pvalue,0.4091822
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
