analysis_id,92mj6zlw6cbx7xd
mouse_strain,C57BL
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
parameter_name,Anophthalmia
gene_symbol,Zmynd19
pvalue,0.4199568
parameter_id,IMPC_GEO_048_002
