gene_symbol,Ntmt2
mouse_life_stage,Early adult
analysis_id,4e0u00z3h6904lq
gene_accession_id,MGI:2685053
mouse_strain,C59BL
parameter_id,MGP_PBI_031_001
parameter_name,KLRG1+ mature NK cell number
pvalue,0.7273043
