parameter_id,IMPC_ECH_008_001
gene_symbol,Secisbp2l
parameter_name,LVIDd
mouse_strain,C57BL
analysis_id,773q27a23ae1e9f
mouse_life_stage,Middle aged adult
pvalue,0.2123821
gene_accession_id,MGI:1917604
