gene_symbol,Tnni1
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_accession_id,MGI:105073
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
analysis_id,9lx7008no1483nz
pvalue,0.1819963
mouse_life_stage,Early adult
