parameter_name,Time mobile light side
analysis_id,x091jt824ge0klw
mouse_life_stage,Early adult
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
pvalue,0.169291
