gene_symbol,Hspa5
analysis_id,lz7rh5n927iny86
pvalue,0.8799083
parameter_name,Eosinophil cell count
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:95835
