mouse_life_stage,E15.5
analysis_id,6017m66t0x4hq2h
parameter_id,MGP_MLN_006_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.1498034
