parameter_name,Whole arena average speed
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8wk2vr4020b94lr
parameter_id,ESLIM_007_001_005
pvalue,0.9474273
