analysis_id,a1jo2s35z17y8e5
gene_accession_id,MGI:1914556
parameter_name,T cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.6432214
parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
gene_symbol,Zc2hc1a
