parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_name,Heart weight
analysis_id,442961377e089d5
gene_symbol,Dmap1
pvalue,0.3399216
mouse_life_stage,E12.5
