analysis_id,573ar45290v694g
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
gene_symbol,Hspa5
pvalue,0.7559833
mouse_strain,C57BL
parameter_id,MGP_IMM_073_001
