parameter_name,Humerus
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
gene_symbol,Ahctf1
pvalue,0.313553
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
analysis_id,5f780n9u8tiu4wk
