analysis_id,35vf3m4k5831p13
mouse_life_stage,Early adult
pvalue,0.4681091
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:106100
parameter_id,MGP_PBI_011_001
gene_symbol,Etfdh
mouse_strain,C57BL
