parameter_id,IMPC_ECG_010_001
pvalue,0.4245269
mouse_strain,C57BL
parameter_name,HRV
analysis_id,g3r3o29i6606fo5
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
