parameter_name,Fasted blood glucose concentration
parameter_id,IMPC_IPG_010_001
gene_accession_id,MGI:1931749
analysis_id,aao19esy59j4026
pvalue,0.8733418
gene_symbol,Pum1
mouse_strain,C57BL
mouse_life_stage,Early adult
