analysis_id,ti0k23g3jzp9vx9
gene_accession_id,MGI:1338022
pvalue,0.8017349
parameter_name,Cue Baseline % Freezing Time
parameter_id,HRWLLA_FEA_015_001
gene_symbol,Opn3
mouse_life_stage,Early adult
mouse_strain,C57BL
