gene_symbol,Pld1
analysis_id,v17x2d9311eosoe
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
gene_accession_id,MGI:109585
parameter_name,Basophil differential count
pvalue,0.7918968
