analysis_id,706q7lq4djbs634
parameter_id,MGP_PBI_040_001
gene_symbol,Ppm1j
mouse_life_stage,Early adult
pvalue,0.09656868
parameter_name,Eosinophil number
mouse_strain,C57BL
gene_accession_id,MGI:1919137
