parameter_name,Calcium
analysis_id,rqxprdjiouut8o6
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
mouse_life_stage,Early adult
gene_symbol,Slc30a4
pvalue,0.7667246
gene_accession_id,MGI:1345282
