parameter_id,M-G-P_006_001_026
gene_symbol,Sfpq
pvalue,0.3019559
analysis_id,w2t29g6p72vk4g0
mouse_strain,C57BL
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
parameter_name,Fusion of vertebrae
