analysis_id,314w4vrg0w45m95
gene_symbol,Ints7
parameter_name,Distance travelled - total
pvalue,0.7314168
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:1924315
