gene_symbol,Zc2hc1a
parameter_id,IMPC_IMM_032_001
gene_accession_id,MGI:1914556
mouse_strain,C57BL
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.9947489
mouse_life_stage,Early adult
analysis_id,8hh79258529ulrn
