analysis_id,56hn58605205593
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
pvalue,0.5434177
gene_accession_id,MGI:1915472
parameter_id,IMPC_FEA_107_001
mouse_life_stage,Early adult
gene_symbol,Tubb4b
mouse_strain,C57BL
