analysis_id,etg796z367917l9
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_020_001
mouse_strain,C57BL
parameter_name,Distance travelled - total
gene_accession_id,MGI:1927379
pvalue,0.2191379
gene_symbol,Rhbg
