gene_symbol,Cntfr
mouse_life_stage,Early adult
parameter_name,KLRG1+ mature NK cell percentage
analysis_id,458v86887950m6v
pvalue,0.6290426
mouse_strain,129SV
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:99605
