analysis_id,y5cc12bixdg84i1
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
parameter_name,Cornea
gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
pvalue,0.1033778
