parameter_id,IMPC_GEP_076_001
analysis_id,1yz09h1vv9j3q14
mouse_life_stage,Middle aged adult
pvalue,0.8754321
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_strain,C57BL
parameter_name,Cleft palate
