analysis_id,60l5di94wn908fl
gene_accession_id,MGI:109356
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Snap23
parameter_id,MGP_IMM_094_001
pvalue,0.2339604
