analysis_id,5ei4a9d931r651e
parameter_name,Eosinophil cell count
parameter_id,IMPC_HEM_036_001
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.2659132
