parameter_name,Whole arena average speed
analysis_id,9gmo495xrdln63r
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
mouse_strain,C57BL
gene_symbol,Atf3
parameter_id,IMPC_OFD_009_001
pvalue,0.3831932
