analysis_id,3p52rxrz6zr4iia
parameter_id,IMPC_GEO_011_001
pvalue,0.4222534
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
gene_symbol,Ufc1
parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
