gene_symbol,Nr0b2
parameter_id,HRWLLA_DXA_007_001
mouse_strain,B6J
analysis_id,49jv64fa39usxl1
pvalue,0.9227569
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_name,BMC/Body weight
