gene_symbol,Slc45a3
parameter_id,IMPC_EYE_009_001
mouse_strain,C57BL
pvalue,0.1945223
analysis_id,835311z7x87137y
parameter_name,Corneal vascularization
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
