parameter_name,Total bilirubin
pvalue,0.4380582
gene_symbol,F2
analysis_id,l181z265m8z39a8
mouse_strain,C57BL
gene_accession_id,MGI:88380
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
