parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
analysis_id,98l408uzj6o1461
gene_symbol,Eprs1
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
pvalue,0.3879786
mouse_strain,C57BL
