gene_symbol,Psmd14
mouse_strain,C57BL
analysis_id,nheiuk0880qzi69
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
parameter_id,JAX_LDT_008_001
parameter_name,Percent time in dark
pvalue,0.1347565
