gene_symbol,Tiprl
pvalue,0.8954753
analysis_id,0337659s31y1v10
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_name,Magnesium
parameter_id,M-G-P_025_001_030
mouse_life_stage,E12.5
