parameter_id,M-G-P_026_001_004
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_name,Coat colouration
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2822781
analysis_id,7ei8fqz1k9alnp1
