analysis_id,118lwm49533930b
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
mouse_life_stage,Early adult
pvalue,0.9031784
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_strain,129SV
