parameter_name,Center permanence time
pvalue,0.3441611
parameter_id,JAX_OFD_016_001
analysis_id,898577bj9pi20f3
gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
