parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
mouse_strain,C57BL
pvalue,0.1061089
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
analysis_id,334igm7f1vqewc8
gene_symbol,Hpca
