parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:2181659
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Percentage center time
gene_symbol,Tox
analysis_id,42c685uf34qd4u5
pvalue,0.1916912
