analysis_id,4c7n20txpt74k06
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
pvalue,0.4917435
gene_symbol,Morn5
parameter_name,B Cells
mouse_strain,C57BL
