gene_symbol,Bcs1l
analysis_id,y25o9q16qw29914
parameter_id,JAX_URI_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2186816
parameter_name,Creatinine
gene_accession_id,MGI:1914071
