analysis_id,no4y3780y1794oy
pvalue,0.6408464
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_005
gene_symbol,Ola1
parameter_name,Mean-cell-volume
gene_accession_id,MGI:1914309
